,1,2,24,27,32,36,37,38
980,1.0,0.6470588235294118,0.0,0.5,0.02,0.0,0.0,0.0
106853,0.5,0.3529411764705882,0.0,0.01,0.0,0.0,0.0,0.28
31091,0.5,0.6470588235294118,1.0,1.0,1.0,0.33,0.33,0.0
22531,0.5,0.3529411764705882,0.0,1.0,0.02,0.0,0.0,0.94
102058,0.5,0.6470588235294118,0.0,1.0,1.0,0.0,0.0,0.0
43291,0.5,0.3529411764705882,0.0,1.0,0.06,0.0,0.0,0.88
52933,0.5,0.29411764705882354,1.0,0.1,0.0,1.0,1.0,0.0
45773,0.5,0.29411764705882354,1.0,0.2,0.05,1.0,1.0,0.0
82649,0.5,0.29411764705882354,1.0,0.17,0.08,1.0,1.0,0.0
94480,0.5,0.6470588235294118,0.0,1.0,1.0,0.0,0.0,0.0
12734,0.0,0.6470588235294118,0.0,1.0,1.0,0.0,0.0,0.0
113032,0.5,0.6470588235294118,0.0,1.0,1.0,0.0,0.0,0.0
3804,0.5,0.29411764705882354,1.0,1.0,1.0,1.0,1.0,0.0
126109,0.0,0.6470588235294118,0.0,1.0,1.0,0.0,0.0,0.0
80043,1.0,0.6470588235294118,0.0,1.0,0.39,0.0,0.0,0.0
135010,0.5,0.3529411764705882,0.0,0.07,0.07,0.0,0.0,1.0
57658,0.5,0.29411764705882354,1.0,0.06,0.05,1.0,1.0,0.0
46544,0.5,0.29411764705882354,1.0,0.02,0.02,0.93,1.0,0.01
111351,0.5,0.47058823529411764,0.0,1.0,0.01,0.0,0.0,1.0
108504,0.5,0.29411764705882354,1.0,0.06,0.04,1.0,1.0,0.0
65173,0.0,0.6470588235294118,0.0,1.0,0.89,0.0,0.0,0.0
45438,0.5,0.6470588235294118,0.0,1.0,1.0,0.0,0.0,0.0
104667,0.5,0.29411764705882354,1.0,0.15,0.07,1.0,1.0,0.0
100608,0.5,0.29411764705882354,1.0,0.14,0.08,1.0,1.0,0.0
75294,0.5,0.6470588235294118,0.0,1.0,1.0,0.0,0.0,0.0
45768,1.0,0.6470588235294118,0.0,1.0,1.0,0.0,0.0,0.0
70118,0.5,0.6470588235294118,0.0,1.0,0.84,0.0,0.0,0.0
70117,0.5,0.6470588235294118,0.0,1.0,1.0,0.0,0.0,0.0
27270,0.0,0.6470588235294118,0.0,1.0,0.95,0.0,0.0,0.0
128858,0.5,0.29411764705882354,1.0,0.16,0.08,1.0,1.0,0.0
52567,0.5,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,1.0
74481,0.5,0.6470588235294118,0.0,1.0,1.0,0.0,0.0,0.0
80566,0.5,0.3529411764705882,0.0,0.04,0.04,0.0,0.0,1.0
47581,0.5,0.29411764705882354,1.0,0.02,0.02,1.0,1.0,0.0
13087,0.5,0.29411764705882354,1.0,0.15,0.1,1.0,1.0,0.0
