,Unnamed: 0,2,27,36,37
0,980,0.2352941176470588,0.5,0.0,0.0
1,106853,0.8823529411764706,0.01,0.0,0.0
2,31091,0.2352941176470588,1.0,0.33,0.33
3,22531,0.8823529411764706,1.0,0.0,0.0
4,102058,0.2352941176470588,1.0,0.0,0.0
5,43291,0.8823529411764706,1.0,0.0,0.0
6,52933,1.0,0.1,1.0,1.0
7,45773,1.0,0.2,1.0,1.0
8,82649,1.0,0.17,1.0,1.0
9,94480,0.2352941176470588,1.0,0.0,0.0
10,12734,0.2352941176470588,1.0,0.0,0.0
11,113032,0.2352941176470588,1.0,0.0,0.0
12,3804,1.0,1.0,1.0,1.0
13,126109,0.2352941176470588,1.0,0.0,0.0
14,80043,0.2352941176470588,1.0,0.0,0.0
15,135010,0.8823529411764706,0.07,0.0,0.0
16,57658,1.0,0.06,1.0,1.0
17,46544,1.0,0.02,0.93,1.0
18,111351,0.29411764705882354,1.0,0.0,0.0
19,108504,1.0,0.06,1.0,1.0
20,65173,0.2352941176470588,1.0,0.0,0.0
21,45438,0.2352941176470588,1.0,0.0,0.0
22,104667,1.0,0.15,1.0,1.0
23,100608,1.0,0.14,1.0,1.0
24,75294,0.2352941176470588,1.0,0.0,0.0
25,45768,0.2352941176470588,1.0,0.0,0.0
26,70118,0.2352941176470588,1.0,0.0,0.0
27,70117,0.2352941176470588,1.0,0.0,0.0
28,27270,0.2352941176470588,1.0,0.0,0.0
29,128858,1.0,0.16,1.0,1.0
30,52567,0.8823529411764706,0.0,0.0,0.0
31,74481,0.2352941176470588,1.0,0.0,0.0
32,80566,0.8823529411764706,0.04,0.0,0.0
33,47581,1.0,0.02,1.0,1.0
34,13087,1.0,0.15,1.0,1.0
35,89075,0.8823529411764706,0.5,0.0,0.0
36,4568,1.0,1.0,1.0,1.0
37,102917,1.0,0.28,1.0,1.0
38,49816,0.2352941176470588,1.0,0.0,0.0
39,93483,1.0,0.33,1.0,1.0
40,62685,0.29411764705882354,1.0,0.0,0.0
41,74027,0.2352941176470588,1.0,0.0,0.0
42,64858,0.2352941176470588,1.0,0.0,0.0
43,88886,0.2352941176470588,0.5,0.0,0.0
44,20297,1.0,0.07,1.0,1.0
45,39145,0.2352941176470588,1.0,0.0,0.0
46,57250,0.2352941176470588,0.33,0.0,0.0
47,73959,0.2352941176470588,1.0,0.0,0.0
48,126652,0.2352941176470588,1.0,0.0,0.0
49,35955,0.8823529411764706,0.12,0.0,0.0
50,5254,1.0,1.0,1.0,1.0
51,37017,0.2352941176470588,1.0,0.02,0.0
